issue,titre,url,priorite,milestone,etat_code,confiance_etat,resume,preuve_locale,recommended_action
192,[ADDRESS-06] Frontend — Final Consent checkboxes and Summary,https://github.com/Ken-Andre/bicec-veripass/issues/192,critical,M4 - Back-Office MVP,Partiellement terminé,faible,"Frontend — Final Consent checkboxes and Summary: Écran récapitulatif avant soumission; Checkboxes pour : (1) Exactitude des infos, (2) Partage avec BICEC, (3) CGU","fichiers proches: `docs/BICEC-VERIPASS-VUE-ENSEMBLE.md`, `CHANGELOG.md`, `docs/demo-scenario-mvp-2026-05-20.md`",Validate missing acceptance criteria manually and schedule remaining work this week.
167,[DEMO-03] Script de démo — Walkthrough 10 minutes,https://github.com/Ken-Andre/bicec-veripass/issues/167,critical,M6 - Analytics & Demo,Partiellement terminé,faible,"Script de démo — Walkthrough 10 minutes: Rédiger docs/demo-script.md : script ligne par ligne (narrateur + actions écran); Durée cible : 10 minutes pour jury, 5 minutes version courte","fichiers proches: `docs/BICEC-VERIPASS-VUE-ENSEMBLE.md`, `docs/demo-scenario-mvp-2026-05-20.md`, `docs/rapport-stage/build_stage_report.py`",Finish or explicitly scope the presentation/report deliverable before soutenance.
165,[DEMO-01] Rapport PFE — Sections techniques finales,https://github.com/Ken-Andre/bicec-veripass/issues/165,critical,M6 - Analytics & Demo,Partiellement terminé,faible,"Rapport PFE — Sections techniques finales: Section Contribution Data/IA : résultats OCR observability, benchmarks modèles, courbes FER; Section Architecture : C4 diagrams, ADRs justifiés","`pfe` dans `code/README.md`; fichiers proches: `code/README.md`, `docs/BICEC-VERIPASS-VUE-ENSEMBLE.md`, `CHANGELOG.md`",Finish or explicitly scope the presentation/report deliverable before soutenance.
162,[TEST-10] Golden Dataset — Données de démo préparées,https://github.com/Ken-Andre/bicec-veripass/issues/162,critical,M6 - Analytics & Demo,Partiellement terminé,moyenne,"Golden Dataset — Données de démo préparées: Script scripts/seed_demo.py : créer 5 profils utilisateurs complets; Profil 1 ""Happy Path"" : Marie Mballa — score 0.92, approuvée, accès FULL","fichiers proches: `code/backend/app/routers/demo.py`, `CHANGELOG.md`, `code/scripts/run_kyc_happy_path_acceptance.py`",Validate missing acceptance criteria manually and schedule remaining work this week.
154,[TEST-02] Tests E2E Playwright — Parcours Marie complet,https://github.com/Ken-Andre/bicec-veripass/issues/154,critical,M6 - Analytics & Demo,Partiellement terminé,faible,Tests E2E Playwright — Parcours Marie complet: Flow complet : OTP → PIN setup → CNI recto → CNI verso → OCR review → selfie → liveness → adresse → NIU → consentement → soumission; Utiliser seed data (20 images CNI synthétiques + selfies),"`e2e` dans `CHANGELOG.md`; fichiers proches: `CHANGELOG.md`, `docs/index.md`, `docs/demo-scenario-mvp-2026-05-20.md`",Validate missing acceptance criteria manually and schedule remaining work this week.
153,[TEST-01] Tests d'intégration — Coverage ≥ 70%,https://github.com/Ken-Andre/bicec-veripass/issues/153,critical,M6 - Analytics & Demo,Partiellement terminé,faible,"Tests d'intégration — Coverage ≥ 70%: Pytest fixtures : DB de test isolée (pytest-postgresql), Redis mock (fakeredis), Celery eager mode; Couvrir : auth OTP, upload CNI, OCR pipeline, state machine transitions, Jean approve/reject, AML screening","fichiers proches: `CHANGELOG.md`, `docs/BICEC-VERIPASS-VUE-ENSEMBLE.md`, `docs/project-overview.md`",Validate missing acceptance criteria manually and schedule remaining work this week.
160,[TEST-08] Performance Benchmark — Hardware cible,https://github.com/Ken-Andre/bicec-veripass/issues/160,high,M6 - Analytics & Demo,Trace faible / à vérifier,faible,"Performance Benchmark — Hardware cible: Scénario de charge : 5 sessions simultanées (5 tabs Chrome); Mesurer : temps OCR PaddleOCR (target < 5s), temps GLM-OCR (target < 30s), temps liveness (target < 10s), temps face match (target < 15s)","fichiers proches: `code/backoffice/src/services/mock-data.ts`, `CHANGELOG.md`, `code/scripts/MONITORING.md`",Inspect detected files and either finish the implementation or mark as future scope.
187,[ADDRESS-01] Frontend — Address Step and Map Picker,https://github.com/Ken-Andre/bicec-veripass/issues/187,high,M4 - Back-Office MVP,Partiellement terminé,faible,"Frontend — Address Step and Map Picker: Écran AddressStep : champ texte ""Quartier / Ville""; Intégration Leaflet ou Google Maps (via API key .env) pour sélecteur de point GPS","fichiers proches: `CHANGELOG.md`, `paddleocr_test/notebooks/02_synthetic_cni_generation.py`, `paddleocr_test/notebooks/05_pdf_image_converter.py`",Validate missing acceptance criteria manually and schedule remaining work this week.
173,[DEMO-09] Rapport PFE — Résumé Exécutif & Abstract,https://github.com/Ken-Andre/bicec-veripass/issues/173,high,,Partiellement terminé,faible,"Rapport PFE — Résumé Exécutif & Abstract: Abstract (1 page, anglais) : contexte BICEC, problème, solution, résultats clés, technologies; Résumé exécutif (2 pages, français) : pour direction BICEC non-technique","`pfe` dans `code/README.md`; fichiers proches: `code/README.md`, `docs/BICEC-VERIPASS-VUE-ENSEMBLE.md`, `docs/index.md`",Finish or explicitly scope the presentation/report deliverable before soutenance.
190,[ADDRESS-04] Frontend — NIU Input and Validation,https://github.com/Ken-Andre/bicec-veripass/issues/190,medium,M4 - Back-Office MVP,Trace faible / à vérifier,faible,Frontend — NIU Input and Validation: Input masqué (masking) pour NIU; Validation temps réel (14 caractères alphanumériques),"fichiers proches: `paddleocr_test/notebooks/03_ocr_accuracy_dashboard.py`, `code/mobile/AGENTS.md`, `code/backend/app/core/logging.py`",Inspect detected files and either finish the implementation or mark as future scope.
