issue,titre,url,type,scope,priorite,milestone,resume,etat_code,confiance_etat,preuve_locale,score_detection,premier_commit,date_premier_commit,sujet_premier_commit,confiance_premier_commit,dernier_commit,date_dernier_commit,sujet_dernier_commit,confiance_dernier_commit,prochaine_action
200,[ADMIN-05b] Infrastructure — SSL Certbot Let's Encrypt (Production),https://github.com/Ken-Andre/bicec-veripass/issues/200,Task,"infrastructure, demo",,M6 - Analytics & Demo,Infrastructure — SSL Certbot Let's Encrypt (Production): Ajouter un service certbot dans docker-compose.yml; Volume partagé certbot_www pour le challenge HTTP-01,Non terminé localement,moyenne,"`docker-compose.yml` dans `code/scripts/test-backup-docker-images.sh`; `nginx.conf` dans `code/backoffice/nginx.conf`; `entrypoint.sh` dans `code/backend/entrypoint.sh`; fichiers proches: `code/docker-compose.yml`, `code/scripts/test-backup-docker-images.sh`, `code/backoffice/nginx.conf`",40,a8092ff091dc,2026-03-14,feat(infra): Nginx reverse proxy + TLS 1.3 + Security Headers,"haute: docker-compose.yml, nginx.conf, docker-compose",18c7e0100c73,2026-06-06,fix: harden banking access controls and licensing,"haute: docker-compose.yml, nginx.conf, docker-compose",Garder pour post-soutenance/production sauf besoin infra réel.
193,[ADDRESS-07] DB — Migration Address/NIU/Consent,https://github.com/Ken-Andre/bicec-veripass/issues/193,Task,"database, address",high,M4 - Back-Office MVP,DB — Migration Address/NIU/Consent: Migration 011_address_niu : colonnes address/niu dans kyc_sessions + table consents; Index sur niu_number,Terminé probable,haute,"`011_address_niu` dans `code/backend/alembic/versions/016_drop_orphan_consents_table.py`; `kyc_sessions` dans `code/scripts/seed_kyc_compliance_visual_demo.py`; `consents` dans `code/mobile/src/views/kyc/ConsentScreen.tsx`; fichiers proches: `code/scripts/seed_kyc_compliance_visual_demo.py`, `code/mobile/src/views/kyc/ConsentScreen.tsx`, `code/backend/alembic/versions/016_drop_orphan_consents_table.py`",30,68b8a083be16,2026-03-21,feat(db): add ADDRESS/AML/DWH Alembic migrations (#193 #136 #148),"haute: référence issue #193, 011_address_niu, address",b01dff6fe16c,2026-04-09,fix: resolve ruff linting errors,"haute: 011_address_niu, consents",Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
192,[ADDRESS-06] Frontend — Final Consent checkboxes and Summary,https://github.com/Ken-Andre/bicec-veripass/issues/192,Task,"frontend, address",critical,M4 - Back-Office MVP,"Frontend — Final Consent checkboxes and Summary: Écran récapitulatif avant soumission; Checkboxes pour : (1) Exactitude des infos, (2) Partage avec BICEC, (3) CGU",Partiellement terminé,faible,"fichiers proches: `docs/BICEC-VERIPASS-VUE-ENSEMBLE.md`, `CHANGELOG.md`, `docs/demo-scenario-mvp-2026-05-20.md`",11,,,,,,,,,Planifier le reste à faire ou expliciter le périmètre réellement livré.
191,[ADDRESS-05] Backend — Consent storage and Timestamping,https://github.com/Ken-Andre/bicec-veripass/issues/191,Task,"backend, security, address",high,M4 - Back-Office MVP,"Backend — Consent storage and Timestamping: Table consents : session_id, consent_type (MARKETING, TERMS, DATA_USAGE), granted (bool), timestamp, ip_address; Endpoint POST /kyc/session/consent : atomique (plusieurs à la fois)",Terminé probable,haute,"`consents` dans `code/mobile/src/views/kyc/ConsentScreen.tsx`; `session_id` dans `code/scripts/seed_kyc_compliance_visual_demo.py`; `ip_address` dans `code/backend/tests/test_kyc_auth_and_atms.py`; fichiers proches: `code/mobile/src/views/kyc/ConsentScreen.tsx`, `code/scripts/seed_kyc_compliance_visual_demo.py`, `code/backend/tests/test_kyc_auth_and_atms.py`",24,2c162726da87,2026-04-25,"feat(mobile): update existing KYC screens - address, CNI capture, consent, intro, liveness, NIUs, OCR review and review","moyenne/faible: consents, consent",5d9328290f72,2026-06-06,feat: add versioned legal document consent,"moyenne/faible: consents, consent",Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
190,[ADDRESS-04] Frontend — NIU Input and Validation,https://github.com/Ken-Andre/bicec-veripass/issues/190,Task,"frontend, address",medium,M4 - Back-Office MVP,Frontend — NIU Input and Validation: Input masqué (masking) pour NIU; Validation temps réel (14 caractères alphanumériques),Trace faible / à vérifier,faible,"fichiers proches: `paddleocr_test/notebooks/03_ocr_accuracy_dashboard.py`, `code/mobile/AGENTS.md`, `code/backend/app/core/logging.py`",8,,,,,,,,,Vérifier manuellement les fichiers détectés avant de dater le jalon.
189,[ADDRESS-03] Backend — NIU Declarative verification,https://github.com/Ken-Andre/bicec-veripass/issues/189,Task,"backend, address",high,M4 - Back-Office MVP,"Backend — NIU Declarative verification: Champ niu_number dans KYCSession (String, 14 chars); Validation algorithmique NIU (Luhn ou format spécifique Cameroun si connu)",Terminé probable,moyenne,"`niu_number` dans `code/scripts/seed_kyc_compliance_visual_demo.py`; `KYCSession` dans `code/scripts/seed_kyc_compliance_visual_demo.py`; fichiers proches: `code/scripts/seed_kyc_compliance_visual_demo.py`, `code/parse_project.py`, `paddleocr_test/notebooks/ocr_utils.py`",21,,,,,,,,,Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
188,[ADDRESS-02] Backend — Address \u0026 GPS Persistence,https://github.com/Ken-Andre/bicec-veripass/issues/188,Task,"backend, address",high,M4 - Back-Office MVP,"Backend — Address \u0026 GPS Persistence: Extension modèle KYCSession : address_text, gps_lat, gps_lng; Endpoint PATCH /kyc/session/address",Terminé probable,haute,"`KYCSession` dans `code/scripts/seed_kyc_compliance_visual_demo.py`; `address_text` dans `code/backend/tests/unit/test_ocr_cni_postprocessing.py`; `gps_lat` dans `code/scripts/run_kyc_happy_path_acceptance.py`; fichiers proches: `code/scripts/run_kyc_happy_path_acceptance.py`, `code/scripts/seed_kyc_compliance_visual_demo.py`, `code/backend/tests/unit/test_ocr_cni_postprocessing.py`",30,,,,,,,,,Utiliser les commits candidats pour dater le jalon; validation manuelle recommandée.
187,[ADDRESS-01] Frontend — Address Step and Map Picker,https://github.com/Ken-Andre/bicec-veripass/issues/187,Task,"frontend, address",high,M4 - Back-Office MVP,"Frontend — Address Step and Map Picker: Écran AddressStep : champ texte ""Quartier / Ville""; Intégration Leaflet ou Google Maps (via API key .env) pour sélecteur de point GPS",Partiellement terminé,faible,"fichiers proches: `CHANGELOG.md`, `paddleocr_test/notebooks/02_synthetic_cni_generation.py`, `paddleocr_test/notebooks/05_pdf_image_converter.py`",10,,,,,,,,,Planifier le reste à faire ou expliciter le périmètre réellement livré.
186,[DISCOVERY-03] Frontend — Appointment booking shell view,https://github.com/Ken-Andre/bicec-veripass/issues/186,Task,frontend,low,,Frontend — Appointment booking shell view: Calendrier visuel (React Day Picker); Sélection agence la plus proche (liste statique),Trace faible / à vérifier,faible,"fichiers proches: `CHANGELOG.md`, `code/mobile/src/hooks/use-service-worker.ts`, `paddleocr_test/notebooks/02_synthetic_cni_generation.py`",9,,,,,,,,,Vérifier manuellement les fichiers détectés avant de dater le jalon.
185,[DISCOVERY-02] Frontend — Loan simulator view,https://github.com/Ken-Andre/bicec-veripass/issues/185,Task,frontend,low,,"Frontend — Loan simulator view: Entrées : montant, durée, type de crédit; Sortie : mensualité estimée, coût du crédit",Trace faible / à vérifier,faible,"fichiers proches: `paddleocr_test/test_kyc.py`, `code/backoffice/src/pages/compliance/AmlListsPage.tsx`, `paddleocr_test/notebooks/04_eneo_sanctions_exploration.py`",8,,,,,,,,,Vérifier manuellement les fichiers détectés avant de dater le jalon.
